iter	Logloss
0	0.6888945923
1	0.684645752
2	0.6805343018
3	0.6767741699
4	0.6733419189
5	0.6698342285
6	0.6667225952
7	0.6636724854
8	0.6607431641
9	0.6580806885
10	0.6557232666
11	0.6532744141
12	0.6509008789
13	0.6485620117
14	0.6462794189
15	0.6443789063
16	0.6425159912
17	0.6406884155
18	0.63919104
19	0.6377779541
20	0.6367236328
21	0.6352855835
22	0.63403125
23	0.6325516357
24	0.6311759033
25	0.6301255493
26	0.6290042114
27	0.6279156494
28	0.627126709
29	0.6262011719
30	0.6252466431
31	0.624463623
32	0.6238435059
33	0.623039856
34	0.622545105
35	0.6217504883
36	0.6211113281
37	0.6206027832
38	0.6200032959
39	0.6195233154
40	0.6189266357
41	0.6183613281
42	0.6178006592
43	0.6170977783
44	0.6165899048
45	0.6161955566
46	0.6158658447
47	0.6152745361
48	0.6147513428
49	0.6141730957
50	0.6136540527
51	0.6131864624
52	0.6127852783
53	0.6122839355
54	0.6117766724
55	0.6113393555
56	0.6108817749
57	0.6103424072
58	0.6100470581
59	0.6096828613
60	0.6092423096
61	0.6088790283
62	0.6084563599
63	0.6080447998
64	0.6077010498
65	0.6072755127
66	0.6069848022
67	0.6069475708
68	0.6066279297
69	0.6063313599
70	0.6059747314
71	0.605637146
72	0.6052832642
73	0.605019043
74	0.6047415771
75	0.6046260376
76	0.6042919922
77	0.6040029297
78	0.603802002
79	0.6035026855
80	0.6032955322
81	0.6029395752
82	0.6027651367
83	0.6026002197
84	0.6022973633
85	0.6020237427
86	0.6018097534
87	0.6015843506
88	0.6012962036
89	0.6010549927
90	0.6008630371
91	0.6006038818
92	0.6004529419
93	0.6002214355
94	0.6000161743
95	0.5997747192
96	0.5995317383
97	0.5992053223
98	0.5988356323
99	0.5984490967
100	0.5981452026
101	0.5979225464
102	0.5977280884
103	0.5975057983
104	0.597229126
105	0.5968996582
106	0.5966954346
107	0.5964089966
108	0.5961539307
109	0.5958787842
110	0.5956409302
111	0.5954417114
112	0.5951895752
113	0.594994873
114	0.5948492432
115	0.5946558838
116	0.5944318237
117	0.5941682129
118	0.5939103394
119	0.5937142334
120	0.5934844971
121	0.5933615112
122	0.5931602783
123	0.5929729614
124	0.5927092896
125	0.5923267822
126	0.5920930786
127	0.5919716187
128	0.5918134766
129	0.5916395264
130	0.5915515747
131	0.5913760986
132	0.5911586914
133	0.5909417725
134	0.5905841064
135	0.5904490967
136	0.5903014526
137	0.5900880127
138	0.5898887939
139	0.5897394409
140	0.5896188965
141	0.5893285522
142	0.5890926514
143	0.5889160767
144	0.5887846069
145	0.588555481
146	0.5883963623
147	0.5882336426
148	0.5880004272
149	0.5877501221
150	0.5875930786
151	0.5873886108
152	0.5871213379
153	0.586906311
154	0.5868041992
155	0.5866351318
156	0.5864108887
157	0.5863157349
158	0.5861877441
159	0.5860901489
160	0.5859107666
161	0.5857697144
162	0.5856331177
163	0.5855043945
164	0.5852575684
165	0.5851314087
166	0.5850024414
167	0.5848515625
168	0.5846277466
169	0.5844830322
170	0.5842647705
171	0.5841286621
172	0.5839978027
173	0.5838010864
174	0.5836459961
175	0.583473999
176	0.5833132324
177	0.5832037354
178	0.582991333
179	0.5828312378
180	0.5827255859
181	0.5826875
182	0.5825018921
183	0.5824230347
184	0.5824191895
185	0.5822386475
186	0.5821035156
187	0.5819681396
188	0.5817768555
189	0.5815713501
190	0.5813400879
191	0.581171936
192	0.5809295044
193	0.5807554932
194	0.5806035156
195	0.5804291992
196	0.5802833862
197	0.5801783447
198	0.5800125122
199	0.5798098755
200	0.5796347656
201	0.5795091553
202	0.5793084717
203	0.579159729
204	0.5790692139
205	0.5789049072
206	0.5787826538
207	0.5786951294
208	0.578564209
209	0.5783682861
210	0.5782039795
211	0.5780582275
212	0.5779136963
213	0.5776383057
214	0.5774743652
215	0.5772733154
216	0.5770698853
217	0.5769679565
218	0.5768250732
219	0.576593811
220	0.5764958496
221	0.5763006592
222	0.5761143799
223	0.575986084
224	0.5758200073
225	0.575644043
226	0.5754471436
227	0.5752520752
228	0.5750990601
229	0.5749573975
230	0.5748317871
231	0.5747172852
232	0.5745510254
233	0.57437146
234	0.5742294922
235	0.5740635376
236	0.5738725586
237	0.5736618652
238	0.5735744019
239	0.5734118652
240	0.5732166138
241	0.5730330811
242	0.572894043
243	0.5727421875
244	0.5725743408
245	0.5724178467
246	0.5723362427
247	0.5722289429
248	0.5720561523
249	0.5719007568
250	0.5717264404
251	0.5715547485
252	0.5714171143
253	0.5713118286
254	0.5711691895
255	0.5710523682
256	0.5709191895
257	0.5707810059
258	0.5706125488
259	0.5705134888
260	0.5703608398
261	0.5701586914
262	0.5699771729
