iter	Logloss
263	0.5697823486
264	0.569661499
265	0.5694888916
266	0.5693814087
267	0.5692304688
268	0.5691331177
269	0.5689641113
270	0.5687030029
271	0.5685036621
272	0.5682895508
273	0.5681488037
274	0.567973877
275	0.5677849731
276	0.5675684204
277	0.5674589844
278	0.5673602295
279	0.5672423096
280	0.5671138916
281	0.5670014648
282	0.5668441162
283	0.5666984863
284	0.5665461426
285	0.566407959
286	0.5662508545
287	0.5660715942
288	0.5659816895
289	0.565805542
290	0.5656913452
291	0.5655444336
292	0.5653901367
293	0.5651798096
294	0.5650578613
295	0.5648098145
296	0.5646607666
297	0.5644797974
298	0.564302002
299	0.5641243896
300	0.5639255981
301	0.5637341309
302	0.5636384277
303	0.5634517822
304	0.5633314819
305	0.5631461792
306	0.5629953003
307	0.5628807983
308	0.5627575684
309	0.5625288086
310	0.5624436646
311	0.5622337646
312	0.5621365356
313	0.5620292969
314	0.5618886719
315	0.5616716919
316	0.5614188232
317	0.5612275391
318	0.5609616699
319	0.5607880859
320	0.5607052002
321	0.5604891357
322	0.5602454224
323	0.5601487427
324	0.5600432129
325	0.5598666382
326	0.5597570801
327	0.5595924072
328	0.559475647
329	0.5592380371
330	0.5590692749
331	0.5588579102
332	0.5587242432
333	0.5585769653
334	0.5584153442
335	0.5582075195
336	0.5579992065
337	0.5578353271
338	0.5577149658
339	0.5575278931
340	0.5574200439
341	0.5572677002
342	0.5571275635
343	0.5570506592
344	0.5569127197
345	0.5568133545
346	0.5565692139
347	0.5563964233
348	0.5562672119
349	0.5561104126
350	0.5559803467
351	0.555822876
352	0.5556697998
353	0.5554804688
354	0.5552784424
355	0.5550862427
356	0.5549459839
357	0.5547515259
358	0.554625061
359	0.5544497681
360	0.5543339844
361	0.5541713867
362	0.5540056152
363	0.5538554688
364	0.553661438
365	0.5535866089
366	0.5534655151
367	0.5532744141
368	0.5529848633
369	0.5528991699
370	0.5526867065
371	0.552513916
372	0.5523156738
373	0.5520820312
374	0.5518379517
375	0.5516918945
376	0.5515524902
377	0.5513760376
378	0.5511738281
379	0.551036438
380	0.5508624268
381	0.5507197876
382	0.5506051025
383	0.5504075928
384	0.5502869873
385	0.5500596313
386	0.549927002
387	0.5498116455
388	0.5496668701
389	0.5495592651
390	0.549406311
391	0.5493041992
392	0.549138916
393	0.549020752
394	0.5488707275
395	0.5487121582
396	0.5486115723
397	0.5483685913
398	0.5481552124
399	0.5480549316
400	0.5479138184
401	0.5477799072
402	0.5476245728
403	0.5475142822
404	0.5473308105
405	0.5471331787
406	0.5469790039
407	0.5468283081
408	0.5466657715
409	0.5464511108
410	0.5463438721
411	0.5461973877
412	0.5460791016
413	0.5459804687
414	0.5458164673
415	0.5456502686
416	0.5454295654
417	0.5452872314
418	0.5451561279
419	0.5450491943
420	0.5449153442
421	0.5448201904
422	0.5447019043
423	0.5445545654
424	0.5443728638
425	0.5441730347
426	0.5439984131
427	0.5438551025
428	0.543673645
429	0.5435213623
430	0.5433640137
431	0.5431580811
432	0.5430810547
433	0.5429053345
434	0.5427670288
435	0.5425975952
436	0.5424145508
437	0.5422849121
438	0.5421470947
439	0.5420709229
440	0.5419631348
441	0.5418910522
442	0.5417470703
443	0.5415874634
444	0.5414677734
445	0.5413110352
446	0.5412106934
447	0.5411066895
448	0.5409035645
449	0.5407767334
450	0.5405878906
451	0.5405065308
452	0.5402915039
453	0.5401813965
454	0.5400685425
455	0.5399794922
456	0.539840332
457	0.5396930542
458	0.539552063
459	0.5393874512
460	0.5392942505
461	0.5391401978
462	0.5389905396
463	0.5389107056
464	0.5387210693
465	0.5386125488
466	0.5385213623
467	0.538411377
468	0.5383013916
469	0.5381326904
470	0.5380058594
471	0.5378791504
472	0.5377608643
473	0.5376004028
474	0.5374682617
475	0.5373356323
476	0.5371821899
477	0.5371259766
478	0.5369860229
479	0.5368374023
480	0.5367370605
481	0.536586792
482	0.5364216919
483	0.5363178711
484	0.5361417847
485	0.5360400391
486	0.5359405518
487	0.535807373
488	0.5356414795
489	0.5354594727
490	0.5352546387
491	0.5351259155
492	0.5349412842
493	0.5347966919
494	0.534673645
495	0.534586792
496	0.5344793091
497	0.5342791138
498	0.5341995239
499	0.5340695801
